year,species,synonyms,source_databases
2000,204216,no data,14
2002,242269,no data,18
2003,304710,no data,20
2004,323680,no data,22
2005,527084,no data,29
2006,884552,no data,37
2007,1008965,538364,47
2008,1105589,720040,52
2009,1160711,763776,66
2010,1257735,886882,77
2011,1347224,895441,99
2012,1404038,847912,115
2013,1352112,928147,132
