2007/8/18, 216.5494569094311
2007/10/8, 217.7147798699813
2007/12/18, 230.9815335747069
2008/3/1, 237.33690458564948
2008/4/7, 238.49859348291315
2008/5/30, 251.18450273900694
2008/9/6, 258.1225352302246
2008/11/4, 269.6582634561288
2009/1/24, 277.7434485914639
2009/3/2, 289.84911907614025
2009/4/8, 289.85880991157103
2009/6/30, 294.48860653862187
2009/8/17, 298.53331897654
2009/9/9, 306.02736315059826
2009/11/20, 309.50213332974397
2010/1/5, 309.51424687403244
2010/2/27, 312.4081726045465
2010/5/27, 313.0077930468254
2010/7/29, 319.9361347026123
2010/9/6, 317.6424350915917
2010/11/9, 321.69138727001075
2011/1/11, 319.4037444311342
2011/4/13, 334.9799453544556
2011/6/30, 340.76052868891054
2011/9/14, 345.96450731523475
2011/10/26, 345.9754095050942
2011/12/4, 358.65768469790135
2012/2/18, 360.4056691387267
2012/4/1, 378.8491459951273
2012/5/6, 394.41020498808825
2012/6/21, 396.1503156251258
2012/8/1, 408.8331964951478
2012/9/19, 411.7259108712326
2012/11/20, 413.4702612487716
2012/12/8, 429.6030795321478
2012/12/17, 441.12548285933434
2013/1/14, 442.28474904774055
2013/2/13, 451.50860734619135
2013/4/19, 452.1015653391115
2013/5/14, 472.8441929014625
2013/6/17, 474.00527612151177
2013/7/15, 480.92453261908236
2013/7/29, 507.42412210452625
2013/8/7, 531.0425050809587
2013/8/9, 551.7790758711656
2013/8/16, 563.876872552054
2013/9/15, 578.2847221287532
